epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2697.15,1.35419,0.79042,1.09891,0.8417,0.88625,0.93766,0.51664,1.4001,11.5453,0.97576,0.005743,0.005743,0.005743
45,2758.66,1.34053,0.75341,1.0881,0.85604,0.90746,0.93704,0.52144,1.4023,88.7,0.976,0.005644,0.005644,0.005644
46,2820.19,1.33623,0.75538,1.08863,0.93038,0.9471,0.97085,0.53701,1.39226,17.1655,0.97386,0.005545,0.005545,0.005545
47,2881.58,1.3362,0.74605,1.08331,0.94425,0.94988,0.97599,0.52963,1.41855,16.1623,0.98466,0.005446,0.005446,0.005446
48,2942.84,1.32359,0.71915,1.07977,0.9495,0.96482,0.9789,0.54306,1.39926,3.91728,0.97663,0.005347,0.005347,0.005347
49,3004.18,1.32272,0.71071,1.07825,0.95305,0.9605,0.98043,0.54585,1.37819,34.8788,0.96831,0.005248,0.005248,0.005248
50,3065.51,1.32217,0.70408,1.07806,0.95503,0.9583,0.98206,0.55793,1.36574,2.8512,0.9596,0.005149,0.005149,0.005149
51,3126.82,1.32245,0.69139,1.0774,0.97163,0.97051,0.98287,0.56018,1.37134,6.18462,0.96428,0.00505,0.00505,0.00505
52,3188.2,1.31529,0.68577,1.07582,0.9452,0.95659,0.97697,0.55513,1.36543,36.4244,0.96246,0.004951,0.004951,0.004951
53,3249.56,1.31108,0.67604,1.07642,0.97188,0.97493,0.98471,0.56041,1.35277,9.0138,0.95796,0.004852,0.004852,0.004852
54,3310.97,1.30871,0.66524,1.06962,0.97023,0.98147,0.98352,0.55476,1.38639,1.82705,0.96804,0.004753,0.004753,0.004753
55,3372.28,1.3035,0.66103,1.07116,0.9625,0.97297,0.98325,0.55603,1.37513,6.75744,0.96353,0.004654,0.004654,0.004654
56,3433.57,1.29507,0.64811,1.06793,0.9703,0.98245,0.98646,0.56746,1.34782,1.22202,0.95382,0.004555,0.004555,0.004555
57,3494.91,1.29493,0.65031,1.06436,0.96521,0.98095,0.9844,0.56931,1.33961,1.77974,0.95029,0.004456,0.004456,0.004456
58,3556.29,1.28298,0.641,1.05799,0.95906,0.98239,0.98359,0.56491,1.35258,1.10747,0.95649,0.004357,0.004357,0.004357
59,3617.58,1.28237,0.6314,1.06198,0.97149,0.97383,0.9838,0.5704,1.33653,0.96572,0.94968,0.004258,0.004258,0.004258
60,3678.8,1.2727,0.62911,1.05985,0.97228,0.97812,0.9855,0.56988,1.34992,5.96814,0.95315,0.004159,0.004159,0.004159
