iter	Passed	Remaining
946	908	50
947	909	49
948	910	48
949	910	47
950	911	46
951	911	45
952	912	45
953	913	44
954	913	43
955	9956	92956	9957	93957	9958	931	39
959	932	38
960	933	37
961	934	36
962	935	35
963	937	34
964	938	34
965	939	33
966	940	32
967	941	31
968	942	30
969	942	29
970	943	28
971	943	27
972	944	26
973	945	25
974	945	24
975	946	23
976	947	22
977	947	21
978	948	20
979	949	19
980	949	18
981	950	17
982	951	16
983	951	15
984	952	14
985	953	13
986	953	12
987	954	11
988	954	10
989	955	9
990	956	8
991	956	7
992	957	6
993	958	5
994	958	4
995	959	3
996	959	2
997	960	1
998	961	0
999	961	0
943	0
