iter	Logloss
0	0.688333356
1	0.6833516985
2	0.6786711679
3	0.6739937117
4	0.6696901873
5	0.6655309507
6	0.6607247924
7	0.6558957311
8	0.6513640004
9	0.6470005641
10	0.6423590441
11	0.6383132487
12	0.6345755533
13	0.630675581
14	0.6267169749
15	0.6228908149
16	0.6195316818
17	0.6160599257
18	0.6118372939
19	0.6083779573
20	0.6049363553
21	0.6017434581
22	0.5980354114
23	0.5943441624
24	0.5915438256
25	0.5885549594
26	0.5852944599
27	0.5824429476
28	0.5792928807
29	0.5768350365
30	0.5745756608
31	0.5722023231
32	0.5697568739
33	0.5668600117
34	0.5637702317
35	0.5603697157
36	0.5573635869
37	0.5550284998
38	0.5525033739
39	0.5498247242
40	0.5476407456
41	0.5449805048
42	0.542943308
43	0.5403369903
44	0.5384595369
45	0.5358822981
46	0.5333680797
47	0.5310870189
48	0.5292976288
49	0.5272741821
50	0.5249933033
51	0.523299641
52	0.5211376384
53	0.5193651094
54	0.5173322712
55	0.5148560977
56	0.5128779219
57	0.5115032308
58	0.509752121
59	0.507558206
60	0.5058497677
61	0.5042041111
62	0.5024641163
63	0.5006083968
64	0.4986871126
65	0.4965731823
66	0.4956161219
67	0.4940579102
68	0.4927090135
69	0.4909406097
70	0.489001375
71	0.4870901657
72	0.4853514247
73	0.4835963387
74	0.4820072697
75	0.480123453
76	0.4785707581
77	0.4770434088
78	0.4758556023
79	0.4740263473
80	0.4726235336
81	0.4714161822
82	0.4702834357
83	0.4691620114
84	0.4676096829
85	0.4666082431
86	0.4648133168
87	0.4634330343
88	0.4628363111
89	0.4616645083
90	0.4604434392
91	0.4594062431
92	0.4580661609
93	0.4570078181
94	0.4560353335
95	0.454877441
96	0.4539367104
97	0.4530940141
98	0.4518061329
99	0.4508851529
100	0.4497106478
101	0.4487922101
102	0.4477400528
103	0.4464129508
104	0.4453734449
105	0.4442563089
106	0.4429620112
107	0.4417647326
108	0.4406232352
109	0.439876577
110	0.4388087177
111	0.4378230802
112	0.4365621237
113	0.4353474919
114	0.4344895527
115	0.4333501892
116	0.4323791265
117	0.4316045978
118	0.4306997675
119	0.4297507717
120	0.4290675296
121	0.4281182429
122	0.42773593
123	0.4268060239
124	0.4255744989
125	0.4246727155
126	0.4242574666
127	0.423241946
128	0.422345091
129	0.4215841569
130	0.4204893217
131	0.4196786047
132	0.4192353164
133	0.4184871843
134	0.4175543341
135	0.4168556867
136	0.4165242661
137	0.4160512516
138	0.4154952143
139	0.4147694851
140	0.4142712312
141	0.4135651331
142	0.413168837
143	0.4123577774
144	0.4117125611
145	0.4108403372
146	0.4101438737
147	0.4096116295
148	0.4087380473
149	0.4082832557
150	0.4080565167
151	0.4072277297
152	0.4067256665
153	0.4064195756
154	0.4057010518
155	0.4053622503
156	0.4044367551
157	0.4039110572
158	0.4035722876
159	0.4031491676
160	0.4026330737
161	0.4019000846
162	0.4010413938
163	0.400665517
164	0.4002723061
165	0.3997894719
166	0.3990666679
167	0.398166434
168	0.3973132017
169	0.3968113249
170	0.3960699028
171	0.3954307529
172	0.3950950092
173	0.3944401649
174	0.394231202
175	0.3934337593
176	0.3932244945
177	0.3929119489
178	0.3924585971
179	0.3919503557
180	0.3916239168
181	0.3911522166
182	0.3905384857
183	0.3899065038
184	0.3894842745
185	0.3891314813
186	0.3888804612
187	0.388279259
188	0.3878816613
189	0.3875892757
190	0.3870285313
191	0.3864732649
192	0.3859870506
193	0.3856139752
194	0.3853138147
195	0.3848632619
196	0.3843978421
197	0.3841725014
198	0.3838653951
199	0.3834485529
200	0.3831699029
201	0.3829192577
202	0.3823323637
203	0.3817378122
204	0.3814096676
205	0.3811016877
206	0.3806144996
207	0.3801757895
208	0.3798401423
209	0.3795769058
210	0.3791440363
211	0.3787741485
212	0.3785189445
213	0.3781058858
214	0.377782971
215	0.3774958353
216	0.3770641996
217	0.3767547638
218	0.3764637117
219	0.3762139879
220	0.3759413063
221	0.3757029319
222	0.3754164795
223	0.3751441933
224	0.3748656576
225	0.3744685256
226	0.3740311687
227	0.3737666572
228	0.3734790962
229	0.3730882511
230	0.3730073378
231	0.3726110178
232	0.3724089651
233	0.3721028013
234	0.371804331
235	0.3715189796
236	0.3713001643
237	0.3712497334
238	0.3710839508
239	0.3706843977
240	0.3702110698
241	0.3699433783
242	0.3695899732
243	0.369307454
244	0.3688993816
245	0.3685418124
246	0.3682826942
247	0.3679509428
248	0.3674603224
249	0.3670666815
250	0.3666675091
251	0.3664128301
252	0.3659983795
253	0.3656142378
254	0.3654402411
255	0.3648488235
256	0.364703836
257	0.36446627
258	0.3639594721
259	0.3636585412
260	0.3634174687
261	0.3632581614
262	0.362832608
263	0.3626623151
264	0.3624716221
265	0.3620327642
266	0.3616897978
267	0.361432045
268	0.361270272
269	0.36100766270270	0.36068263271271	0.36045486272	0.3549866777
273	0.3546453196
274	0.3545087602
275	0.3542875612
276	0.3538452644
277	0.3537076553
278	0.3534157689
279	0.3532266392
280	0.3530600522
281	0.3584916119
282	0.3582842889
283	0.3579894209
284	0.3575930294
285	0.3572967595
286	0.357015193
287	0.3568044537
288	0.3565741894
289	0.3564654269
290	0.3504243846
291	0.3501916448
292	0.3500023409
293	0.3498825161
294	0.3494814743
295	0.3493515837
296	0.3490001195
297	0.348881778
298	0.3487813353
299	0.348555138
300	0.348460387
301	0.3483083483
302	0.3480157639
303	0.3478851619
304	0.3477883302
305	0.3474779229
306	0.34713638
307	0.3468484329
308	0.3465779099
309	0.3462855003
310	0.3457897296
311	0.3456172734
312	0.345341013
313	0.345013983
314	0.344816082
315	0.3447121788
316	0.3444485672
317	0.3441273089
318	0.3438903243
319	0.3435688934
320	0.3433016871
321	0.3431246057
322	0.3429950781
323	0.3428926126
324	0.3425595788
325	0.3423395458
326	0326	0.347248327	0327	0.347025328	0328	0.3468497252
329	0.346638323
330	0.3464883736
331	0.3462863453
332	0.3461144022
333	0.3458745231
334	0.3457909991
335	0.3455150601
336	0.3454322844
337	0.3452551699
338	0.3450445691
339	0.3446928795
340	0.3442968833
341	0.344113754
342	0.3439358078
343	0.3437570222
344	0.343639338
345	0.3433707195
346	0.3429795927
347	0.3426545195
348	0.3424357425
349	0.3422114681
350	0.3421109192
351	0.3418758277
352	0.3417248701
353	0.3413474689
354	0.3411821179
355	0.3410548875
356	0.3409621436
357	0.3407579996
358	0.3405501428
359	0.3403389195
360	0.340073417
361	0.3398453116
362	0.3396237151
363	0.3393268937
364	0.3391927041
365	0.3388848053
366	0.3385222758
367	0.3384756134
368	0.3382853945
369	0.3381145881
370	0.3380418523
371	0.3379549292
372	0.3377677528
373	0.337621721
374	0.3374435023
375	0.3372100307
376	0.3370245181
377	0.3366173536
378	0.3364795436
379	0.3362982324
380	0.3362332388
381	0.3359974262
382	0.3359057844
383	0.3356381777
384	0.3354238884
385	0.3351875364
386	0.3350451551
387	0.3349230866
388	0.3348306589
389	0.3346576775
390	0.3344622015
391	0.3343115219
392	0.3341608696
393	0.3338993489
394	0.3336923718
395	0.3334553816
