epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,289.866,0.58666,0.41846,0.93098,0.96308,0.96432,0.97852,0.84326,0.66425,0.32907,0.90236,0.000742625,0.000742625,0.000742625
43,296.771,0.59931,0.41203,0.92783,0.94362,0.95614,0.97423,0.83215,0.66331,0.37381,0.90612,0.00073025,0.00073025,0.00073025
44,303.686,0.57765,0.42567,0.92089,0.59248,0.60394,0.74555,0.60146,0.81958,1.61169,0.98505,0.000717875,0.000717875,0.000717875
45,310.566,0.58579,0.41248,0.93118,0.79954,0.86425,0.93872,0.84118,0.54215,0.71046,0.87436,0.0007055,0.0007055,0.0007055
46,317.547,0.57411,0.40851,0.91805,0.75168,0.55988,0.6746,0.55636,0.73494,3.15718,0.96732,0.000693125,0.000693125,0.000693125
47,324.447,0.55865,0.38001,0.91764,0.87992,0.92243,0.96188,0.86247,0.55017,0.43891,0.8765,0.00068075,0.00068075,0.00068075
48,331.446,0.58218,0.39431,0.92447,0.90936,0.85955,0.94827,0.83305,0.61432,0.5559,0.90481,0.000668375,0.000668375,0.000668375
49,338.361,0.57227,0.38814,0.91708,0.96387,0.94626,0.97567,0.84078,0.67131,0.33439,0.90734,0.000656,0.000656,0.000656
50,345.252,0.58663,0.38079,0.92474,0.86312,0.85181,0.94579,0.83076,0.54737,0.52973,0.88757,0.000643625,0.000643625,0.000643625
51,352.153,0.5722,0.39194,0.92098,0.90923,0.8034,0.94461,0.84684,0.54759,0.63873,0.87756,0.00063125,0.00063125,0.00063125
52,359.03,0.57079,0.39172,0.92932,0.95659,0.96119,0.97809,0.87676,0.54706,0.29633,0.87387,0.000618875,0.000618875,0.000618875
53,365.984,0.55738,0.38227,0.91442,0.95038,0.96174,0.97476,0.87798,0.52388,0.29753,0.8663,0.0006065,0.0006065,0.0006065
54,372.937,0.56409,0.37698,0.91502,0.96213,0.94426,0.97492,0.85653,0.63038,0.33091,0.89448,0.000594125,0.000594125,0.000594125
55,379.817,0.55491,0.37249,0.90821,0.92773,0.92492,0.97111,0.87539,0.54579,0.34718,0.87421,0.00058175,0.00058175,0.00058175
56,386.697,0.54872,0.379,0.91641,0.95305,0.95375,0.97832,0.85175,0.65025,0.33514,0.90284,0.000569375,0.000569375,0.000569375
