epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.3729,2.45794,4.94025,1.78743,0.43577,0.59857,0.47353,0.19981,1.77079,69.2248,1.16421,0.00330846,0.00330846,0.00330846
2,123.334,1.72212,1.62184,1.27487,0.59442,0.67415,0.55418,0.23013,1.74054,94.7991,1.12522,0.00661987,0.00661987,0.00661987
3,187.104,1.70213,1.5211,1.25425,0.22064,0.08742,0.03545,0.00929,2.88847,624.914,1.68707,0.00990929,0.00990929,0.00990929
4,248.651,1.70576,1.51892,1.26272,0.45818,0.52358,0.39743,0.14387,1.91646,205.024,1.25204,0.009901,0.009901,0.009901
5,309.977,1.64948,1.35061,1.23591,0.50606,0.65633,0.52538,0.20976,1.84903,135.245,1.22137,0.009868,0.009868,0.009868
6,371.434,1.61999,1.27931,1.21254,0.52204,0.56326,0.46548,0.19306,1.78135,103.398,1.13823,0.009835,0.009835,0.009835
7,432.806,1.59838,1.21822,1.20253,0.66065,0.7986,0.66077,0.29806,1.63425,83.5845,1.0795,0.009802,0.009802,0.009802
8,494.183,1.57909,1.18027,1.19873,0.62953,0.74295,0.63354,0.27853,1.65057,92.3937,1.09386,0.009769,0.009769,0.009769
9,555.464,1.55315,1.13883,1.1812,0.62419,0.75741,0.61843,0.20374,2.08202,61.2575,1.3294,0.009736,0.009736,0.009736
10,616.734,1.54101,1.11717,1.18077,0.663,0.8331,0.67894,0.30761,1.62282,71.7918,1.07227,0.009703,0.009703,0.009703
11,678.219,1.53672,1.09906,1.17306,0.66901,0.86302,0.69136,0.30904,1.6209,84.8506,1.07373,0.00967,0.00967,0.00967
12,739.647,1.5165,1.07007,1.15836,0.65615,0.81367,0.6884,0.32616,1.56191,65.0132,1.04352,0.009637,0.009637,0.009637
13,800.927,1.51413,1.05854,1.16655,0.68905,0.88623,0.72495,0.35503,1.53759,79.5295,1.03882,0.009604,0.009604,0.009604
14,862.177,1.50645,1.03896,1.16116,0.69801,0.86364,0.7311,0.34798,1.54959,84.7567,1.05323,0.009571,0.009571,0.009571
15,923.425,1.49803,1.03054,1.15878,0.68828,0.89948,0.74151,0.36597,1.53036,83.3504,1.03122,0.009538,0.009538,0.009538
16,985.005,1.48419,1.00258,1.15029,0.6872,0.89749,0.74056,0.35841,1.54999,85.2217,1.03419,0.009505,0.009505,0.009505
17,1046.36,1.48178,1.00725,1.15335,0.69826,0.93256,0.76048,0.37364,1.55578,89.448,1.04429,0.009472,0.009472,0.009472
18,1107.67,1.49084,0.98143,1.14774,0.70496,0.9223,0.76326,0.34779,1.63986,82.5817,1.08741,0.009439,0.009439,0.009439
19,1169.02,1.46726,0.96799,1.14694,0.67067,0.88065,0.73369,0.35685,1.52888,89.5787,1.03207,0.009406,0.009406,0.009406
20,1230.29,1.47677,0.97667,1.14919,0.70499,0.87665,0.75783,0.38765,1.50135,68.1538,1.01938,0.009373,0.009373,0.009373
21,1291.59,1.4652,0.96513,1.14792,0.70192,0.92004,0.76502,0.36653,1.56405,72.7257,1.04704,0.00934,0.00934,0.00934
22,1352.84,1.45638,0.96246,1.1408,0.71074,0.92809,0.7643,0.38627,1.49453,73.4363,1.02172,0.009307,0.009307,0.009307
23,1414.18,1.45493,0.9351,1.13995,0.7094,0.92062,0.77665,0.40125,1.4663,81.5372,1.00929,0.009274,0.009274,0.009274
24,1475.45,1.45197,0.95031,1.13827,0.69788,0.93925,0.76858,0.39804,1.4385,94.3397,0.99326,0.009241,0.009241,0.009241
25,1536.77,1.44463,0.93495,1.13238,0.70565,0.94387,0.77629,0.39244,1.51725,92.4686,1.02632,0.009208,0.009208,0.009208
26,1597.96,1.44253,0.92393,1.13575,0.69166,0.94916,0.79219,0.40215,1.49167,80.6191,1.02375,0.009175,0.009175,0.009175
27,1659.21,1.43101,0.92303,1.12615,0.71153,0.94708,0.79547,0.40492,1.4903,98.0138,1.02294,0.009142,0.009142,0.009142
28,1720.44,1.42783,0.9212,1.13272,0.71295,0.93383,0.81146,0.41696,1.49816,68.7313,1.02476,0.009109,0.009109,0.009109
29,1781.7,1.41991,0.90517,1.1239,0.71154,0.94863,0.79635,0.41624,1.46337,83.61,1.00003,0.009076,0.009076,0.009076
30,1843.03,1.4196,0.89657,1.12167,0.70616,0.93348,0.79877,0.40926,1.46677,97.5196,1.01147,0.009043,0.009043,0.009043
31,1904.36,1.42249,0.89722,1.12472,0.6985,0.92578,0.78413,0.33393,1.75087,79.8158,1.13188,0.00901,0.00901,0.00901
32,1965.68,1.41065,0.89109,1.11679,0.71964,0.93634,0.82482,0.41909,1.50479,78.8791,1.02015,0.008977,0.008977,0.008977
33,2027,1.41487,0.89787,1.12173,0.7135,0.93871,0.79819,0.40003,1.50065,71.4455,1.02068,0.008944,0.008944,0.008944
34,2088.3,1.41339,0.89786,1.11748,0.70754,0.96661,0.8376,0.4505,1.43657,76.5404,0.98691,0.008911,0.008911,0.008911
35,2149.61,1.40375,0.89253,1.11739,0.71434,0.96073,0.83393,0.44881,1.41681,72.9811,0.98419,0.008878,0.008878,0.008878
36,2210.82,1.40696,0.88952,1.11383,0.71471,0.94552,0.82415,0.42556,1.47604,84.1051,1.0067,0.008845,0.008845,0.008845
37,2272.1,1.3899,0.87763,1.11067,0.72002,0.95836,0.83682,0.4453,1.42555,77.1786,0.98451,0.008812,0.008812,0.008812
38,2333.45,1.38809,0.86796,1.10771,0.72026,0.95451,0.86428,0.46881,1.41685,67.7932,0.98191,0.008779,0.008779,0.008779
