epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2704.69,1.36892,0.7817,1.10454,0.92425,0.94464,0.96623,0.52956,1.40505,16.7217,0.97948,0.007162,0.007162,0.007162
45,2766.2,1.35819,0.75575,1.09683,0.91988,0.94094,0.96828,0.51899,1.44867,40.552,0.99791,0.007096,0.007096,0.007096
46,2827.62,1.35682,0.75832,1.09978,0.92622,0.90916,0.96346,0.53066,1.407,1.53819,0.97704,0.00703,0.00703,0.00703
47,2889.12,1.35747,0.74925,1.09206,0.94379,0.96175,0.97714,0.53444,1.42018,6.6022,0.98367,0.006964,0.006964,0.006964
48,2950.73,1.3471,0.73485,1.0889,0.95207,0.96535,0.97732,0.53857,1.41536,8.51266,0.98187,0.006898,0.006898,0.006898
49,3012.45,1.34667,0.72634,1.08845,0.96123,0.94242,0.97647,0.53533,1.40077,15.4029,0.9781,0.006832,0.006832,0.006832
50,3073.98,1.34414,0.71572,1.08925,0.95979,0.96506,0.98043,0.54937,1.38406,2.64584,0.97141,0.006766,0.006766,0.006766
51,3135.53,1.34716,0.70732,1.08851,0.95995,0.97458,0.98243,0.54941,1.37745,5.06923,0.96748,0.0067,0.0067,0.0067
52,3196.97,1.33715,0.69858,1.08506,0.97298,0.96755,0.98111,0.53734,1.41037,4.33747,0.98256,0.006634,0.006634,0.006634
53,3258.34,1.33105,0.69372,1.08525,0.96279,0.97256,0.9805,0.53567,1.42412,9.08822,0.98581,0.006568,0.006568,0.006568
54,3319.74,1.33194,0.68803,1.08079,0.9514,0.96909,0.98011,0.53802,1.40885,21.609,0.97691,0.006502,0.006502,0.006502
55,3381.15,1.32427,0.68198,1.08101,0.97093,0.97754,0.98484,0.55251,1.37741,1.89571,0.96458,0.006436,0.006436,0.006436
56,3442.66,1.32015,0.67375,1.07982,0.96878,0.98229,0.98274,0.55505,1.3707,4.14384,0.96211,0.00637,0.00637,0.00637
57,3504.3,1.32773,0.67318,1.07927,0.97411,0.9688,0.98137,0.56688,1.34387,1.08411,0.95356,0.006304,0.006304,0.006304
58,3565.94,1.31193,0.67049,1.0697,0.96825,0.97526,0.98409,0.56009,1.37312,4.34598,0.969,0.006238,0.006238,0.006238
59,3627.41,1.31295,0.65635,1.0767,0.96633,0.98069,0.98526,0.56567,1.35269,2.13746,0.9564,0.006172,0.006172,0.006172
